Year	Month	Day	Hour	Minute	operation
2021	2	3	0	0	error
2021	2	3	0	0	error
2021	2	3	0	5	error
2021	2	3	0	10	error
2021	2	3	0	15	operating
2021	2	3	0	20	stopped
2021	2	3	0	25	operating
2021	2	3	0	25	error
2021	2	3	0	25	stopped
2021	2	3	0	30	stopped
2021	2	3	0	35	stopped
2021	2	3	0	35	error
2021	2	3	0	40	error
2021	2	3	0	45	error
2021	2	3	0	45	error
2021	2	3	0	45	error
2021	2	3	0	50	error
2021	2	3	0	55	error
2021	2	3	1	0	error
2021	2	3	1	0	stopped
2021	2	3	1	0	stopped
2021	2	3	1	5	error
2021	2	3	1	10	stopped
2021	2	3	1	10	stopped
2021	2	3	1	10	operating
2021	2	3	1	15	error
2021	2	3	1	15	stopped
2021	2	3	1	15	error
2021	2	3	1	20	operating
2021	2	3	1	25	error
2021	2	3	1	30	stopped
2021	2	3	1	35	operating
2021	2	3	1	35	operating
2021	2	3	1	35	stopped
2021	2	3	1	40	operating
2021	2	3	1	40	error
2021	2	3	1	45	operating
2021	2	3	1	45	error
2021	2	3	1	50	operating
2021	2	3	1	50	stopped
2021	2	3	1	55	stopped
2021	2	3	1	55	operating
2021	2	3	1	55	stopped
2021	2	3	2	0	stopped
2021	2	3	2	5	operating
2021	2	3	2	5	stopped
2021	2	3	2	10	operating
2021	2	3	2	10	error
2021	2	3	2	15	operating
2021	2	3	2	15	stopped
2021	2	3	2	20	error
2021	2	3	2	20	operating
2021	2	3	2	25	stopped
2021	2	3	2	25	stopped
2021	2	3	2	30	operating
2021	2	3	2	35	operating
2021	2	3	2	35	error
2021	2	3	2	40	stopped
2021	2	3	2	40	stopped
2021	2	3	2	45	stopped
2021	2	3	2	45	error
2021	2	3	2	45	error
2021	2	3	2	50	stopped
2021	2	3	2	50	stopped
2021	2	3	2	55	operating
2021	2	3	2	55	error
2021	2	3	2	55	stopped
2021	2	3	3	0	stopped
2021	2	3	3	0	operating
2021	2	3	3	0	error
2021	2	3	3	5	error
2021	2	3	3	5	stopped
2021	2	3	3	10	stopped
2021	2	3	3	10	stopped
2021	2	3	3	10	error
2021	2	3	3	15	stopped
2021	2	3	3	15	stopped
2021	2	3	3	20	operating
2021	2	3	3	20	stopped
2021	2	3	3	20	stopped
2021	2	3	3	25	operating
2021	2	3	3	25	stopped
2021	2	3	3	25	stopped
2021	2	3	3	30	error
2021	2	3	3	35	operating
2021	2	3	3	40	operating
2021	2	3	3	40	operating
2021	2	3	3	40	error
2021	2	3	3	45	stopped
2021	2	3	3	45	error
2021	2	3	3	50	stopped
2021	2	3	3	50	operating
2021	2	3	3	55	operating
2021	2	3	3	55	error
2021	2	3	4	0	operating
2021	2	3	4	0	operating
2021	2	3	4	0	operating
2021	2	3	4	5	operating
2021	2	3	4	5	stopped
2021	2	3	4	5	operating
2021	2	3	4	10	stopped
2021	2	3	4	15	error
2021	2	3	4	20	operating
2021	2	3	4	25	stopped
2021	2	3	4	25	error
2021	2	3	4	25	operating
2021	2	3	4	30	operating
2021	2	3	4	35	error
2021	2	3	4	35	stopped
2021	2	3	4	35	operating
2021	2	3	4	40	error
2021	2	3	4	45	error
2021	2	3	4	50	stopped
2021	2	3	4	55	operating
2021	2	3	4	55	error
2021	2	3	5	0	error
2021	2	3	5	0	error
2021	2	3	5	0	stopped
2021	2	3	5	5	stopped
2021	2	3	5	5	operating
2021	2	3	5	5	stopped
2021	2	3	5	10	error
2021	2	3	5	10	stopped
2021	2	3	5	10	stopped
2021	2	3	5	15	error
2021	2	3	5	15	error
2021	2	3	5	20	operating
2021	2	3	5	25	stopped
2021	2	3	5	25	error
2021	2	3	5	30	stopped
2021	2	3	5	35	operating
2021	2	3	5	40	operating
2021	2	3	5	40	operating
2021	2	3	5	45	error
2021	2	3	5	50	operating
2021	2	3	5	50	operating
2021	2	3	5	55	error
2021	2	3	5	55	operating
2021	2	3	6	0	operating
2021	2	3	6	0	error
2021	2	3	6	5	operating
2021	2	3	6	10	error
2021	2	3	6	15	stopped
2021	2	3	6	15	operating
2021	2	3	6	20	stopped
2021	2	3	6	20	operating
2021	2	3	6	20	error
2021	2	3	6	25	operating
2021	2	3	6	25	stopped
2021	2	3	6	25	error
2021	2	3	6	30	error
2021	2	3	6	30	stopped
2021	2	3	6	35	error
2021	2	3	6	35	operating
2021	2	3	6	40	stopped
2021	2	3	6	40	stopped
2021	2	3	6	40	error
2021	2	3	6	45	error
2021	2	3	6	45	operating
2021	2	3	6	45	operating
2021	2	3	6	50	operating
2021	2	3	6	50	operating
2021	2	3	6	55	operating
2021	2	3	6	55	stopped
2021	2	3	7	0	error
2021	2	3	7	5	operating
2021	2	3	7	5	error
2021	2	3	7	5	stopped
2021	2	3	7	10	stopped
2021	2	3	7	10	stopped
2021	2	3	7	15	stopped
2021	2	3	7	15	stopped
2021	2	3	7	20	error
2021	2	3	7	25	stopped
2021	2	3	7	30	error
2021	2	3	7	35	operating
2021	2	3	7	35	error
2021	2	3	7	35	error
2021	2	3	7	40	stopped
2021	2	3	7	45	error
2021	2	3	7	50	stopped
2021	2	3	7	55	stopped
2021	2	3	7	55	stopped
2021	2	3	8	0	error
2021	2	3	8	5	stopped
2021	2	3	8	10	operating
2021	2	3	8	10	error
2021	2	3	8	15	stopped
2021	2	3	8	15	stopped
2021	2	3	8	15	error
2021	2	3	8	20	stopped
2021	2	3	8	25	error
2021	2	3	8	25	operating
2021	2	3	8	30	operating
2021	2	3	8	30	stopped
2021	2	3	8	30	error
2021	2	3	8	35	error
2021	2	3	8	40	error
2021	2	3	8	40	operating
2021	2	3	8	45	operating
2021	2	3	8	45	stopped
2021	2	3	8	45	error
2021	2	3	8	50	stopped
2021	2	3	8	55	operating
2021	2	3	8	55	operating
2021	2	3	9	0	error
2021	2	3	9	0	error
2021	2	3	9	0	error
2021	2	3	9	5	operating
2021	2	3	9	10	error
2021	2	3	9	10	operating
2021	2	3	9	10	error
2021	2	3	9	15	error
2021	2	3	9	15	stopped
2021	2	3	9	20	operating
2021	2	3	9	20	stopped
2021	2	3	9	25	stopped
2021	2	3	9	30	stopped
2021	2	3	9	30	operating
2021	2	3	9	35	error
2021	2	3	9	35	stopped
2021	2	3	9	40	operating
2021	2	3	9	40	stopped
2021	2	3	9	45	stopped
2021	2	3	9	50	stopped
2021	2	3	9	50	stopped
2021	2	3	9	55	stopped
2021	2	3	9	55	operating
2021	2	3	10	0	operating
2021	2	3	10	5	error
2021	2	3	10	5	operating
2021	2	3	10	5	operating
2021	2	3	10	10	stopped
2021	2	3	10	15	error
2021	2	3	10	15	error
2021	2	3	10	20	operating
2021	2	3	10	25	error
2021	2	3	10	25	stopped
2021	2	3	10	25	error
2021	2	3	10	30	stopped
2021	2	3	10	30	error
2021	2	3	10	35	error
2021	2	3	10	40	error
2021	2	3	10	40	error
2021	2	3	10	45	error
2021	2	3	10	45	error
2021	2	3	10	50	stopped
2021	2	3	10	50	stopped
2021	2	3	10	55	error
2021	2	3	10	55	error
2021	2	3	11	0	operating
2021	2	3	11	0	operating
2021	2	3	11	5	operating
2021	2	3	11	5	stopped
2021	2	3	11	10	operating
2021	2	3	11	15	operating
2021	2	3	11	20	operating
2021	2	3	11	20	operating
2021	2	3	11	20	stopped
2021	2	3	11	25	stopped
2021	2	3	11	30	error
2021	2	3	11	30	stopped
2021	2	3	11	35	operating
2021	2	3	11	35	stopped
2021	2	3	11	35	operating
2021	2	3	11	40	error
2021	2	3	11	40	error
2021	2	3	11	45	operating
2021	2	3	11	50	error
2021	2	3	11	55	stopped
2021	2	3	12	0	stopped
2021	2	3	12	5	stopped
2021	2	3	12	5	error
2021	2	3	12	5	error
2021	2	3	12	10	stopped
2021	2	3	12	10	operating
2021	2	3	12	10	error
2021	2	3	12	15	operating
2021	2	3	12	15	operating
2021	2	3	12	20	operating
2021	2	3	12	25	stopped
2021	2	3	12	30	stopped
2021	2	3	12	30	stopped
2021	2	3	12	35	error
2021	2	3	12	35	operating
2021	2	3	12	40	stopped
2021	2	3	12	45	stopped
2021	2	3	12	50	stopped
2021	2	3	12	50	operating
2021	2	3	12	50	error
2021	2	3	12	55	operating
2021	2	3	12	55	error
2021	2	3	13	0	operating
2021	2	3	13	0	stopped
2021	2	3	13	0	operating
2021	2	3	13	5	operating
2021	2	3	13	10	operating
2021	2	3	13	10	stopped
2021	2	3	13	15	stopped
2021	2	3	13	15	error
