Year	Month	Day	Hour	Minute	operation
2021	1	29	1	14	error
2021	1	29	1	14	stopped
2021	1	29	1	15	operating
2021	1	29	1	15	error
2021	1	29	1	15	stopped
2021	1	29	1	15	operating
2021	1	29	2	20	stopped
2021	1	29	2	29	operating
2021	1	29	2	30	stopped
2021	1	29	2	31	operating
2021	1	29	2	31	stopped
2021	1	29	2	32	operating
2021	1	29	2	34	stopped
2021	1	29	2	34	operating
2021	1	29	3	19	error
2021	1	29	3	20	stopped
2021	1	29	3	21	operating
2021	1	29	4	31	stopped
2021	1	29	4	32	operating
2021	1	29	5	16	error
2021	1	29	5	16	stopped
2021	1	29	5	17	operating
2021	1	29	5	40	error
2021	1	29	5	41	stopped
2021	1	29	5	41	operating
2021	1	29	5	42	stopped
2021	1	29	5	45	operating
2021	1	29	7	14	error
2021	1	29	7	15	stopped
2021	1	29	7	15	operating
2021	1	29	7	15	error
2021	1	29	7	15	stopped
2021	1	29	7	16	operating
2021	1	29	9	8	stopped
2021	1	29	9	9	error
2021	1	29	9	9	stopped
2021	1	29	9	9	operating
2021	1	29	9	11	error
2021	1	29	9	12	stopped
2021	1	29	9	13	operating
2021	1	29	9	13	error
2021	1	29	9	13	stopped
2021	1	29	9	13	operating
2021	1	29	10	53	stopped
2021	1	29	10	56	operating
2021	1	29	10	56	stopped
2021	1	29	10	57	operating
2021	1	29	10	58	stopped
2021	1	29	11	3	operating
2021	1	29	11	3	stopped
2021	1	29	11	6	operating
2021	1	29	11	7	stopped
2021	1	29	11	11	operating
2021	1	29	11	12	stopped
2021	1	29	11	12	operating
2021	1	29	11	13	stopped
2021	1	29	11	14	operating
2021	1	29	11	23	error
2021	1	29	11	24	stopped
2021	1	29	11	25	operating
2021	1	29	11	25	error
2021	1	29	11	25	stopped
2021	1	29	11	25	operating
2021	1	29	13	19	error
2021	1	29	13	20	stopped
2021	1	29	13	20	operating
2021	1	29	13	20	error
2021	1	29	13	20	stopped
2021	1	29	13	20	operating
2021	1	29	15	14	error
2021	1	29	15	14	stopped
2021	1	29	15	14	error
2021	1	29	15	14	stopped
2021	1	29	15	15	operating
2021	1	29	16	15	stopped
2021	1	29	16	15	operating
2021	1	29	17	9	error
2021	1	29	17	9	stopped
2021	1	29	17	10	operating
2021	1	29	17	15	stopped
2021	1	29	17	19	operating
2021	1	29	17	20	stopped
2021	1	29	17	21	operating
2021	1	29	17	21	stopped
2021	1	29	17	21	operating
2021	1	29	18	19	stopped
2021	1	29	18	20	operating
2021	1	29	18	21	stopped
2021	1	29	18	21	operating
2021	1	29	19	2	stopped
2021	1	29	19	2	operating
2021	1	29	19	10	error
2021	1	29	19	10	stopped
2021	1	29	19	11	error
2021	1	29	19	11	stopped
2021	1	29	19	17	operating
2021	1	29	19	56	stopped
2021	1	29	19	57	operating
2021	1	29	21	12	error
2021	1	29	21	13	stopped
2021	1	29	21	13	operating
2021	1	29	22	2	stopped
2021	1	29	22	4	operating
2021	1	29	22	45	stopped
2021	1	29	22	49	operating
2021	1	29	22	50	stopped
2021	1	29	22	51	operating
2021	1	29	22	53	stopped
2021	1	29	22	53	operating
2021	1	29	22	55	stopped
2021	1	29	22	55	operating
2021	1	29	23	15	error
2021	1	29	23	16	stopped
2021	1	29	23	16	error
2021	1	29	23	16	stopped
2021	1	29	23	17	operating
2021	1	29	23	17	error
2021	1	29	23	18	stopped
2021	1	29	23	18	operating
2021	1	30	1	11	error
2021	1	30	1	11	stopped
2021	1	30	1	12	operating
2021	1	30	1	12	error
2021	1	30	1	12	stopped
2021	1	30	1	12	operating
2021	1	30	2	33	stopped
2021	1	30	2	33	operating
2021	1	30	3	6	error
2021	1	30	3	6	stopped
2021	1	30	3	6	operating
2021	1	30	3	6	error
2021	1	30	3	7	stopped
2021	1	30	3	7	operating
2021	1	30	3	19	stopped
2021	1	30	3	30	operating
2021	1	30	3	31	stopped
2021	1	30	3	32	operating
2021	1	30	3	34	stopped
2021	1	30	3	34	operating
2021	1	30	3	35	stopped
2021	1	30	3	35	operating
2021	1	30	5	12	error
2021	1	30	5	13	stopped
2021	1	30	5	13	operating
2021	1	30	5	13	error
2021	1	30	5	13	stopped
2021	1	30	5	13	operating
2021	1	30	5	33	stopped
2021	1	30	5	33	operating
2021	1	30	5	34	stopped
2021	1	30	5	44	operating
2021	1	30	5	45	stopped
2021	1	30	5	46	operating
2021	1	30	5	46	stopped
2021	1	30	5	47	operating
2021	1	30	5	48	stopped
2021	1	30	5	48	operating
2021	1	30	7	19	error
2021	1	30	7	21	stopped
2021	1	30	7	22	operating
2021	1	30	7	56	stopped
2021	1	30	8	1	operating
2021	1	30	8	1	stopped
2021	1	30	8	2	operating
2021	1	30	8	3	stopped
2021	1	30	8	3	operating
2021	1	30	8	4	stopped
2021	1	30	8	4	operating
2021	1	30	8	5	stopped
2021	1	30	8	5	operating
2021	1	30	9	21	error
2021	1	30	9	22	stopped
2021	1	30	9	22	operating
2021	1	30	9	40	error
2021	1	30	9	41	stopped
2021	1	30	9	44	operating
2021	1	30	9	44	stopped
2021	1	30	9	48	operating
2021	1	30	9	49	stopped
2021	1	30	9	49	operating
2021	1	30	11	7	stopped
2021	1	30	11	8	operating
2021	1	30	11	25	error
2021	1	30	11	25	stopped
2021	1	30	11	26	operating
2021	1	30	13	20	error
2021	1	30	13	20	stopped
2021	1	30	13	20	error
2021	1	30	13	20	stopped
2021	1	30	13	21	operating
2021	1	30	13	21	error
2021	1	30	13	22	stopped
2021	1	30	13	22	operating
2021	1	30	15	17	error
2021	1	30	15	18	stopped
2021	1	30	15	18	operating
2021	1	30	15	47	error
2021	1	30	15	49	stopped
2021	1	30	15	50	operating
2021	1	30	15	50	stopped
2021	1	30	15	51	error
2021	1	30	15	51	stopped during operating
