Year	Month	Day	Hour	Minute	operation	Machine 
2021	1	29	1	14	error	CNC
2021	1	29	1	14	stopped	CNC
2021	1	29	1	15	operating	MCT
2021	1	29	1	15	error	TCT
2021	1	29	1	15	stopped	Boring
2021	1	29	1	15	operating	Grinding
2021	1	29	2	20	stopped	MCT
2021	1	29	2	29	operating	Boring
2021	1	29	2	30	stopped	EDM
2021	1	29	2	31	operating	Mill-Turn
2021	1	29	2	31	stopped	Grinding
2021	1	29	2	32	operating	CNC
2021	1	29	2	34	stopped	MCT
2021	1	29	2	34	operating	Grinding
2021	1	29	3	19	error	Boring
2021	1	29	3	20	stopped	MCT
2021	1	29	3	21	operating	CNC
2021	1	29	4	31	stopped	TCT
2021	1	29	4	32	operating	Boring
2021	1	29	5	16	error	Grinding
2021	1	29	5	16	stopped	CNC
2021	1	29	5	17	operating	MCT
2021	1	29	5	40	error	Grinding
2021	1	29	5	41	stopped	Mill-Turn
2021	1	29	5	41	operating	Mill-Turn
2021	1	29	5	42	stopped	EDM
2021	1	29	5	45	operating	TCT
2021	1	29	7	14	error	CNC
2021	1	29	7	15	stopped	CNC
2021	1	29	7	15	operating	MCT
2021	1	29	7	15	error	Grinding
2021	1	29	7	15	stopped	Boring
2021	1	29	7	16	operating	MCT
2021	1	29	9	8	stopped	CNC
2021	1	29	9	9	error	TCT
2021	1	29	9	9	stopped	Boring
2021	1	29	9	9	operating	Grinding
2021	1	29	9	11	error	CNC
2021	1	29	9	12	stopped	MCT
2021	1	29	9	13	operating	Grinding
2021	1	29	9	13	error	CNC
2021	1	29	9	13	stopped	MCT
2021	1	29	9	13	operating	Grinding
2021	1	29	10	53	stopped	Boring
2021	1	29	10	56	operating	MCT
2021	1	29	10	56	stopped	CNC
2021	1	29	10	57	operating	Grinding
2021	1	29	10	58	stopped	Boring
2021	1	29	11	3	operating	Boring
2021	1	29	11	3	stopped	MCT
2021	1	29	11	6	operating	CNC
2021	1	29	11	7	stopped	EDM
2021	1	29	11	11	operating	TCT
2021	1	29	11	12	stopped	EDM
2021	1	29	11	12	operating	Mill-Turn
2021	1	29	11	13	stopped	EDM
2021	1	29	11	14	operating	CNC
2021	1	29	11	23	error	TCT
2021	1	29	11	24	stopped	TCT
2021	1	29	11	25	operating	Grinding
2021	1	29	11	25	error	Boring
2021	1	29	11	25	stopped	CNC
2021	1	29	11	25	operating	MCT
2021	1	29	13	19	error	Boring
2021	1	29	13	20	stopped	EDM
2021	1	29	13	20	operating	TCT
2021	1	29	13	20	error	Mill-Turn
2021	1	29	13	20	stopped	CNC
2021	1	29	13	20	operating	Grinding
2021	1	29	15	14	error	Boring
2021	1	29	15	14	stopped	Boring
2021	1	29	15	14	error	MCT
2021	1	29	15	14	stopped	CNC
2021	1	29	15	15	operating	EDM
2021	1	29	16	15	stopped	TCT
2021	1	29	16	15	operating	EDM
2021	1	29	17	9	error	Mill-Turn
2021	1	29	17	9	stopped	EDM
2021	1	29	17	10	operating	CNC
2021	1	29	17	15	stopped	CNC
2021	1	29	17	19	operating	Boring
2021	1	29	17	20	stopped	EDM
2021	1	29	17	21	operating	EDM
2021	1	29	17	21	stopped	EDM
2021	1	29	17	21	operating	CNC
2021	1	29	18	19	stopped	MCT
2021	1	29	18	20	operating	MCT
2021	1	29	18	21	stopped	Grinding
2021	1	29	18	21	operating	MCT
2021	1	29	19	2	stopped	CNC
